@relation 123

@attribute TEMPINC numeric
@attribute DEWPOINTTEMPINC numeric
@attribute RELHUMINPERCENT numeric
@attribute WINDDIRIN10SDEG numeric
@attribute WINDSPDINKMH numeric
@attribute VISIBILITYINKM numeric
@attribute STNPRESSINKPA numeric
@attribute WINDCHILL numeric
@attribute Class {1,2,3}

@data
-24.6,-28.3,71,26,22,24.1,101.15,-37,2
-24.5,-27.3,78,24,30,24.1,101.05,-38,2
-24.4,-29.3,64,24,22,24.1,101.05,-37,2
-24.4,-29.3,64,24,22,24.1,101.05,-37,2
-24.9,-28.7,71,24,19,24.1,100.98,-36,2
-25.3,-29.2,70,21,20,24.1,100.98,-37,2
-21.8,-27,63,36,19,24.1,100.54,-32,2
-21.6,-27.9,57,35,13,24.1,100.54,-30,2
-21.6,-27.9,57,35,13,24.1,100.54,-30,2
-22.4,-29,55,32,15,24.1,100.41,-32,1
-21.5,-26.6,63,31,41,19.3,100.57,-36,1
-25.4,-32.1,54,23,32,24.1,101.12,-40,2
-26.2,-30.2,69,29,32,24.1,101.25,-41,2
-26.2,-30.2,69,29,32,24.1,101.32,-41,2
-26.2,-30.2,69,32,41,24.1,101.42,-43,2
-26,-31.4,60,29,26,24.1,101.55,-40,2
-2.4,-3.4,93,16,19,16.1,96.32,-8,1
-2.3,-3.6,91,14,9,24.1,96.35,-6,1
-1.3,-2.7,90,14,9,24.1,96.42,-5,1
-1.1,-2.4,91,14,9,24.1,96.42,-4,1
-0.6,-2,90,16,15,24.1,96.39,-5,1
0,-2.7,82,14,15,24.1,96.32,-4,1
-0.5,-2.8,84,13,13,24.1,96.39,-5,1
-0.6,-2.4,88,14,13,24.1,96.35,-5,1
-0.1,-2.4,84,13,13,24.1,96.35,-4,1
-2.6,-4.8,85,35,7,16.1,96.68,-5,1
-12.8,-15.2,82,12,9,24.1,97.06,-18,2
-13.1,-15,86,12,7,24.1,97.06,-18,2
-13,-15.7,80,11,7,24.1,97.06,-18,2
-14.7,-16.1,89,11,6,24.1,97.1,-19,2
-11.5,-14.4,79,13,6,24.1,97.1,-15,2
-8.9,-12.9,73,12,6,24.1,96.97,-12,2
-6.5,-11.4,68,35,11,24.1,96.81,-11,2
-5.5,-11.2,64,34,13,24.1,96.77,-11,2
-5.1,-10.8,64,35,11,24.1,96.77,-10,2
-5.5,-11.4,63,33,13,24.1,96.71,-11,2
-6.6,-11.3,69,33,9,24.1,96.68,-11,2
-7.3,-11,75,33,19,24.1,96.68,-14,2
-7.1,-10.7,75,35,22,24.1,96.68,-15,2
-8.3,-11.1,80,35,22,24.1,96.64,-16,2
-8.4,-11.2,80,33,11,24.1,96.64,-14,2
-4,-9.2,67,5,22,24.1,96.26,-11,2
-5,-9.1,73,1,22,24.1,96.26,-12,2
-5.1,-9.7,70,3,19,24.1,96.22,-12,2
-5,-9.7,70,35,22,24.1,96.22,-12,2
-6.8,-9.6,80,34,28,24.1,96.19,-15,2
-5.1,-9.2,73,2,22,24.1,96.22,-12,2
-6.5,-9.8,77,2,19,24.1,96.22,-13,2
-8.3,-9.6,90,34,28,24.1,96.19,-17,2
-7.6,-9.4,87,13,7,16.1,96.32,-11,1
-7.6,-9.1,89,13,7,16.1,96.32,-11,1
-7.5,-9.3,87,17,9,16.1,96.32,-12,1
-7.2,-9.6,83,15,15,16.1,96.32,-13,1
-8.7,-10.9,84,12,7,16.1,96.35,-13,2
-5.1,-8.8,75,34,15,24.1,97.19,-11,1
-5.9,-9.5,76,2,19,16.1,97.13,-13,1
-5.7,-9.5,75,2,19,24.1,97.19,-12,1
-6,-9.9,74,3,19,24.1,97.16,-13,1
-4.4,-9,70,36,17,24.1,97.16,-10,1
-5.1,-8.8,75,35,7,24.1,97.16,-8,1
-5.3,-8.7,77,32,11,24.1,97.16,-10,1
-3.2,-4.3,92,30,11,8,96.42,-7,3
-3.1,-4.1,93,8,9,11.3,96.51,-7,1
-2.4,-3.4,93,29,7,16.1,96.81,-5,1
-2.1,-3.3,91,36,11,16.1,96.81,-6,1
-8.3,-12.6,71,35,19,24.1,95.64,-16,1
-8.9,-13.3,70,33,28,24.1,95.58,-18,1
-9.1,-14.3,66,34,24,24.1,94.87,-17,1
-9.4,-14.1,69,36,24,24.1,94.9,-18,1
-9.5,-14.4,67,2,28,24.1,94.9,-19,1
-10.7,-16.3,63,35,19,24.1,96.81,-19,2
-11.6,-16.7,66,35,19,24.1,96.93,-20,2
-12.7,-16.1,76,34,7,24.1,97.06,-17,2
-13.2,-16.6,76,36,15,24.1,97.52,-21,1
-10.6,-15.4,68,35,13,24.1,97.32,-17,1
-9.7,-14.5,68,34,11,24.1,97.19,-15,1
-9.1,-12.8,74,32,9,24.1,97.1,-14,1
-9,-12.5,76,31,11,24.1,97.06,-14,1
-9,-13,73,30,9,24.1,97.03,-14,1
-9.1,-12.9,74,32,15,24.1,96.97,-16,1
-9,-12.6,75,31,7,24.1,96.84,-13,1
-8.9,-12.5,75,32,15,24.1,96.77,-15,1
-8.9,-12.3,76,32,13,24.1,96.74,-15,1
-8.4,-9.8,90,36,6,11.3,96.45,-12,1
-8.2,-9.7,89,36,9,12.9,96.55,-13,1
-8,-9.7,88,35,6,16.1,96.61,-11,1
-7.6,-9.3,88,34,6,24.1,96.74,-11,1
-5,-7.1,85,1,7,24.1,97.26,-8,1
-5.1,-6.9,87,36,11,24.1,97.26,-10,1
-5,-6.9,86,35,11,24.1,97.32,-10,1
-4.6,-6.3,88,14,6,9.7,97.19,-7,3
-0.2,-0.5,98,33,9,1.2,95.42,-3,3
-0.3,-0.4,99,33,11,1.2,95.45,-4,3
-0.3,-0.4,99,33,9,1.2,95.48,-3,3
-0.7,-0.9,99,14,6,1.2,95.51,-3,3
-24.7,-28.6,70,26,7,24.1,100.04,-31,2
-24.1,-28.2,69,28,7,24.1,100.04,-30,2
-27.4,-31.5,68,13,7,24.1,99.81,-34,2
-14.8,-19.5,67,23,17,24.1,99.58,-23,1
-14.1,-19.1,66,24,17,24.1,99.55,-22,1
-13.4,-18.1,68,24,15,24.1,99.55,-21,1
-13.7,-18.5,67,23,15,24.1,99.55,-21,1
-13.2,-18.2,66,23,13,24.1,99.51,-20,1
-12.2,-17.3,66,25,13,24.1,99.51,-19,1
-11.7,-16,70,22,11,24.1,99.45,-18,1
-11.3,-17,63,23,13,24.1,99.41,-18,1
-13,-17.6,68,18,13,24.1,98.72,-20,2
-12.7,-17.4,68,18,13,24.1,98.68,-20,2
-13.1,-18,67,18,15,24.1,98.58,-21,2
-12.7,-18.2,63,19,19,24.1,98.58,-21,2
-12.3,-18.4,60,20,17,24.1,98.62,-20,2
-26.5,-30.8,67,32,19,24.1,99.45,-38,2
-26.5,-30.7,68,32,15,24.1,99.45,-37,2
-26.6,-31,66,32,13,24.1,99.48,-36,2
-25.6,-30.3,65,31,24,24.1,99.55,-39,2
-24.5,-29.7,62,30,22,24.1,99.61,-37,2
-18,-21.8,72,29,4,24.1,99.28,-21,1
-17.7,-21.8,70,30,4,24.1,99.25,-21,1
-28.5,-34.7,55,3,19,24.1,100.14,-41,1
-28.2,-34.9,53,3,19,24.1,100.17,-41,1
-38.4,-42.8,63,32,17,16.1,100.53,-53,2
-37.5,-42,63,32,20,16.1,100.57,-53,2
-36.3,-41,62,32,17,24.1,100.63,-50,2
-34.6,-39.6,60,32,15,24.1,100.7,-47,2
-33.7,-39,59,30,20,24.1,100.67,-48,2
-33.3,-38.7,58,30,19,24.1,100.7,-47,2
-36.2,-41.2,60,27,11,24.1,100.87,-47,2
-36.6,-41.2,62,27,9,24.1,100.87,-46,2
-36.8,-41.3,63,26,9,24.1,100.83,-47,2
-36.6,-41.4,61,26,11,24.1,100.8,-48,2
-36.3,-40.9,62,26,9,24.1,100.73,-46,2
-36.6,-41.5,60,26,4,24.1,100.73,-42,2
-35.2,-40.3,60,28,13,24.1,100.67,-47,2
-28.5,-33.7,61,20,6,24.1,98.64,-35,1
-27.6,-32.9,61,21,9,24.1,98.54,-36,1
-26.6,-31.8,61,19,13,24.1,98.48,-36,1
-25,-30.9,58,25,7,24.1,98.38,-31,1
-25.2,-30.8,60,25,6,24.1,98.41,-31,1
-25.7,-30.9,62,26,4,24.1,98.41,-30,1
-29.9,-35.7,57,29,13,24.1,99.94,-40,2
-30.9,-36.5,58,31,15,24.1,100.3,-43,2
-31.5,-36.8,59,31,19,24.1,100.37,-45,2
-32.1,-37.5,59,31,19,24.1,100.4,-45,2
-31.9,-37.4,58,31,19,24.1,100.47,-45,2
-22.1,-27.1,64,9,24,24.1,97.88,-34,1
-3.6,-4.5,93,17,6,24.1,94.58,-6,1
-3.5,-4.5,93,16,6,24.1,94.67,-6,1
-3.3,-4.7,90,14,7,24.1,94.74,-6,1
-10.9,-18.5,53,35,13,24.1,95.71,-17,1
-11,-18.8,53,31,13,24.1,95.64,-17,1
-11.1,-18,57,31,15,24.1,95.58,-18,1
-8,-10,85,11,6,9.7,96,-11,3
0,0,100,12,9,3.2,95.8,-3,3
-0.2,-0.3,99,14,4,4.8,95.61,-1,3
-16.1,-19.1,78,2,6,24.1,97.79,-21,1
-17,-20.2,76,1,7,24.1,97.85,-22,1
-16.6,-20.1,74,5,9,24.1,97.95,-23,1
-16.2,-20.1,72,3,11,24.1,98.05,-23,1
-16.1,-20.1,71,36,7,24.1,98.02,-21,1
-15.8,-20,70,2,9,24.1,98.09,-22,1
-16,-20.5,68,34,9,24.1,98.05,-22,1
-15.9,-20.3,69,36,6,24.1,98.12,-20,1
-22.3,-26,72,8,11,24.1,99.94,-30,1
-18.6,-21.8,76,33,9,24.1,99.48,-25,1
-16.5,-19.6,77,30,11,24.1,99.48,-23,1
-21.9,-26,69,12,9,11.3,99.78,-29,1
-21.4,-25.7,68,12,11,24.1,99.74,-29,1
-18.5,-22.4,71,12,4,24.1,99.74,-22,2
-15.4,-20.5,65,12,4,24.1,99.74,-18,2
-20.1,-25.2,64,27,9,24.1,99.68,-27,2
-20.7,-25.4,66,27,7,24.1,99.64,-26,2
-17.8,-22.9,64,28,6,24.1,99.61,-22,2
-21,-25.2,69,27,9,24.1,99.64,-28,2
-10.7,-13.8,78,6,13,24.1,99.98,-17,1
-10.1,-13.5,76,9,2,24.1,99.94,-11,1
-14.6,-18.2,74,31,4,24.1,100.01,-17,1
-16.8,-19.8,78,11,11,24.1,100.21,-24,1
-16.9,-20.1,76,9,6,24.1,100.24,-21,1
-16.8,-19.8,78,8,6,24.1,100.21,-21,1
-16.4,-19.4,78,11,9,24.1,100.21,-22,1
-15.2,-18.6,75,12,9,24.1,100.21,-21,1
-13.5,-17,75,11,7,24.1,100.21,-18,1
-12,-15.7,74,11,7,24.1,100.11,-16,1
-5.8,-6.7,93,19,11,16.1,98.29,-11,1
-6,-6.8,94,17,22,16.1,98.15,-13,1
-13.2,-17.9,68,15,15,24.1,98.62,-21,1
-12.7,-16.4,74,15,11,24.1,98.62,-19,1
-3.4,-3.7,98,21,7,24.1,97.85,-6,1
-3.6,-3.9,98,13,2,24.1,97.89,-4,1
-3.9,-4.1,99,13,6,6.4,97.89,-7,3
